YEAR,AUTHORS,GEOM,MAT,ROD_DIM,ROD_PITCH,SHROUD_DIM,Lh,FLUID,FLOW_DIR,POW_DIST,P_IN,G,T_IN,TSUB_IN,HSUB_IN,XE_IN,P_EXIT,T_EXIT,TSUB_EXIT,HSUB_EXIT,X_EXIT,XE_EXIT,CHF,Z_CHF,APP,CHANGE,CHF_DETECT,FQ
none,none,none,none,m,m,m,m,none,degree,none,Pa,kg/m2-s,K,K,J/kg,none,Pa,K,K,J/kg,none,none,W/m2,m,none,none,none,none
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10375.16,,,,,3447380,,25.6,,,,9573957,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10510.78,,,,,3447380,,8.3,,,,7552788,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10605.72,,,,,3447380,,6.1,,,,6843606,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10253.1,,,,,3447380,,12.2,,,,8510184,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10253.1,,,,,3447380,,11.1,,,,7942838,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10483.66,,,,,3447380,,5.6,,,,7233656,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,3447380,,16.7,,,,8332889,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,3447380,,22.8,,,,8900234,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,3447380,,29.4,,,,9503039,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,3447380,,11.7,,,,7942838,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,6894759,,15.6,,,,7233656,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,6894759,,32.2,,,,9006611,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10375.16,,,,,6894759,,6.1,,,,7269116,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10565.03,,,,,6894759,,13.9,,,,9006611,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,3447380,,7.8,,,,8084675,0.62484,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,50.18,,15.6,,,137895,,,,0.13,,88329,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,153.25,,10,,,137895,,,,0.06,,141957,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,288.88,,37.8,,,137895,,1.7,,,,217667,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,54.25,,92.2,,,1723690,,,,0.13,,182966,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,172.24,,83.9,,,1723690,,,,0.05,,403788,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,340.41,,95,,,1723690,,,,0.05,,873822,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,37.97,,114.4,,,3447380,,,,0.42,,198739,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,37.97,,105,,,3447380,,,,0.24,,173503,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,37.97,,57.8,,,3447380,,,,0.24,,141957,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,37.97,,56.1,,,3447380,,,,0.26,,141957,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,37.97,,7.8,,,3447380,,,,0.7,,249213,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,37.97,,128.9,,,3447380,,,,0.1,,198739,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,37.97,,103.9,,,3447380,,,,0.08,,217667,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,37.97,,42.8,,,3447380,,,,0.14,,167193,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,37.97,,31.7,,,3447380,,,,0.16,,151420,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,90.87,,131.7,,,3447380,,,,0.1,,343850,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,88.15,,126.7,,,3550801,,,,0.07,,309150,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,141.05,,112.2,,,3447380,,,,0.06,,432179,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,141.05,,70.6,,,3447380,,,,0.08,,347005,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,141.05,,28.9,,,3447380,,,,0.07,,192430,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,181.73,,148.3,,,3447380,,,,0.02,,627764,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,307.86,,115,,,3447380,,,,0.05,,927450,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,307.86,,59.4,,,3447380,,,,0.03,,507889,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,307.86,,31.7,,,3447380,,,,0.04,,343850,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,321.43,,137.2,,,3447380,,,,0.03,,1056788,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,27.12,,227.8,,,6894759,,,,0.68,,280759,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,50.18,,200,,,6894759,,,,0.31,,340696,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,54.25,,208.9,,,6998180,,,,0.36,,403788,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,54.25,,81.7,,,6894759,,,,0.23,,211358,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,117.99,,172.2,,,6894759,,,,0.08,,536280,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,162.75,,183.3,,,6894759,,,,0.12,,823348,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,162.75,,180.6,,,6894759,,,,0.03,,706628,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,176.31,,84.4,,,6894759,,,,0.03,,400633,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,248.19,,180.6,,,6894759,,8.3,,,,987387,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,303.8,,92.8,,,6894759,,2.2,,,,671928,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,321.43,,186.1,,,6894759,,16.7,,,,1230290,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,37.97,,246.1,,,10204243,,,,0.58,,362778,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,74.59,,195,,,10342139,,,,0.07,,369087,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,101.72,,232.2,,,10445560,,,,0.24,,697165,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,111.21,,203.3,,,10342139,,,,0.19,,656155,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,162.75,,213.9,,,10342139,,,,0.02,,820194,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,313.29,,214.4,,,10342139,,15.6,,,,1463730,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,78.66,,264.4,,,12755304,,,,0.21,,570981,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,31.19,,263.3,,,13789518,,,,0.9,,347005,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,70.52,,245,,,13789518,,,,0.31,,514198,0.1524,,,,
