Ti_c,To_c,Tsub_in_K,Tsub_out_K,P_in_Mpa,P_isp_Mpa,P_exit_Mpa,D_mm,G_kg/m2s,u_out_m/s,we_kW,qchf_MW/m2
60,97.63,130.17,75.73,1.6756,1.2603,0.8585,2.5,29605.3,30.833,25.611,28.52667
60.59,124.35,151.22,73.43,2.4888,1.978,1.484,2.5,29538.8,31.426,38.736,47.43462
60.36,108.15,151.42,92.35,2.396,1.9768,1.5713,2.5,29677.3,31.147,31.288,36.0978
60.24,123.69,175.26,101.52,3.639,3.0906,2.5603,2.5,29695.6,31.556,42.582,47.47463
70.12,110.11,122.07,63.81,1.7782,1.3166,0.8701,2.5,29304.7,30.816,25.733,29.97141
69.23,117.61,133.67,72.73,2.0517,1.6517,1.2649,2.5,29526.5,31.235,29.029,36.33979
69.58,122.8,156.02,91.54,3.0969,2.5793,2.0788,2.5,29399.1,31.225,37.515,39.66689
69.88,138.97,165.86,86.7,3.6439,3.1042,2.5822,2.5,29333.6,31.609,45.513,50.84491
30.34,81.66,165.54,92.12,2.0029,1.4256,0.8673,2.5,36044,37.122,38.675,47.18618
30.87,89.55,206.36,136.08,3.8148,3.1874,2.5807,2.5,34895.7,36.102,43.62,52.00424
40.41,90.32,152.47,79.39,1.9052,1.3366,0.7867,2.5,34748.6,36.001,35.806,44.17549
59.65,119.76,177.38,105.18,3.827,3.1765,2.5474,2.5,34267.2,36.291,41.239,52.00919
30.28,76.69,168.88,96.31,2.2275,1.5278,0.8512,2.5,39904.4,40.967,40.69,47.35876
30.16,76.92,208.79,149.02,4.0004,3.2863,2.5956,2.5,39937.1,40.974,41.117,47.75323
30.3,89.99,209.62,136.01,4.1142,3.3434,2.5979,2.5,39989.6,41.384,46.96,60.57851
40.53,91.75,163.92,83.59,2.5377,1.705,0.8997,2.5,39697.4,41.167,41.422,51.73682
50.26,96.62,152.63,78.66,2.4302,1.6515,0.8984,2.5,39666.8,41.28,40.446,46.86209
60.36,103.93,141.88,72.62,2.357,1.6293,0.9256,2.5,39399,41.228,35.44,43.78963
69.82,112.97,127.91,58.42,2.1689,1.4827,0.8191,2.5,39323.3,41.448,31.288,43.29125
